bird_id,colony,visit_count
K45906-MYYW,MSTO_07,1
K45906-MYYW,MSTO_08,184
K45906-MYYW,MSTO_12,349
K45906-MYYW,MSTO_14,1
K45954-KMKK,MSTO_11,817
K45956-MOOO,MSTO_12,38
K45956-MOOO,MSTO_14,2492
K50337-MYBB,MSTO_04,1827
K50338-MRRR,MSTO_04,1118
K50338-MRRR,MSTO_12,1
K50339-MOOK,MSTO_04,1365
K50340-MKKB,MSTO_04,963
K50341-MBWW,MSTO_04,1140
K50342-MKKR,MSTO_04,1825
K50343-MRWR,MSTO_04,2058
K50343-MRWR,MSTO_08,6
K50343-MRWR,MSTO_10,2
K50343-MRWR,MSTO_11,10
K50343-MRWR,MSTO_12,3
K50343-MRWR,MSTO_14,4
K50344-MYBO,MSTO_04,2103
K50346-MORR,MSTO_04,1857
K50346-MORR,MSTO_06,2
K50347-MYOK,MSTO_04,2641
K50348-MKWK,MSTO_04,1913
K50348-MKWK,MSTO_14,16
K50349-MOWW,MSTO_04,692
K50349-MOWW,MSTO_12,2
K50349-MOWW,MSTO_14,10
K50350-MYRR,MSTO_04,1672
K50351-MOWR,MSTO_04,2904
K50351-MOWR,MSTO_11,3
K50351-MOWR,MSTO_14,6
K50352-MRBK,MSTO_04,442
K50353-MBRO,MSTO_03,3
K50353-MBRO,MSTO_04,367
K50353-MBRO,MSTO_08,2
K50353-MBRO,MSTO_14,2
K50354-MKYK,MSTO_05,297
K50354-MKYK,MSTO_07,1
K50354-MKYK,MSTO_13,1
K50355-MWOB,MSTO_05,963
K50355-MWOB,MSTO_06,66
K50356-MWBY,MSTO_05,169
K50357-MYOY,MSTO_05,110
K50358-MYRY,MSTO_02,36
K50358-MYRY,MSTO_05,777
K50358-MYRY,MSTO_06,13
K50359-MKOW,MSTO_02,19
K50359-MKOW,MSTO_05,117
K50359-MKOW,MSTO_06,1
K50359-MKOW,MSTO_14,4
K50360-MBOK,MSTO_02,657
K50360-MBOK,MSTO_03,1
K50360-MBOK,MSTO_05,92
K50360-MBOK,MSTO_06,11
K50360-MBOK,MSTO_14,1
K50361-MOBW,MSTO_05,732
K50362-MOBO,MSTO_05,1516
K50362-MOBO,MSTO_06,126
K50363-MRRO,MSTO_02,1
K50363-MRRO,MSTO_04,1
K50363-MRRO,MSTO_05,225
K50363-MRRO,MSTO_06,8
K50363-MRRO,MSTO_14,1
K50364-MYYY,MSTO_01,1
K50364-MYYY,MSTO_03,1562
K50365-MWWO,MSTO_01,1
K50365-MWWO,MSTO_03,285
K50365-MWWO,MSTO_05,2
K50365-MWWO,MSTO_13,11
K50366-MOKW,MSTO_03,788
K50367-MYWW,MSTO_01,2
K50367-MYWW,MSTO_03,66
K50367-MYWW,MSTO_04,1
K50367-MYWW,MSTO_13,32
K50368-MBKB,MSTO_03,2963
K50371-MOYB,MSTO_03,464
K50371-MOYB,MSTO_13,1
K50372-MORK,MSTO_03,753
K50372-MORK,MSTO_06,1
K50372-MORK,MSTO_13,15
K50373-MYWY,MSTO_03,193
K50373-MYWY,MSTO_04,1
K50373-MYWY,MSTO_05,1
K50374-MWWB,MSTO_03,339
K50374-MWWB,MSTO_13,4
K50375-MWOO,MSTO_03,116
K50375-MWOO,MSTO_05,1
K50376-MKBO,MSTO_05,643
K50376-MKBO,MSTO_06,3
K50377-MOKO,MSTO_05,22
K50378-MOOR,MSTO_01,3
K50378-MOOR,MSTO_02,1
K50378-MOOR,MSTO_03,1
K50378-MOOR,MSTO_05,171
K50378-MOOR,MSTO_06,13
K50378-MOOR,MSTO_08,3
K50379-MBYB,MSTO_05,411
K50380-MOKB,MSTO_05,1451
K50381-MYYK,MSTO_01,1
K50381-MYYK,MSTO_05,1166
K50381-MYYK,MSTO_06,140
K50382-MWKR,MSTO_04,1073
K50383-MYKY,MSTO_04,420
K50383-MYKY,MSTO_08,3
K50383-MYKY,MSTO_09,3
K50383-MYKY,MSTO_12,1
K50383-MYKY,MSTO_13,1
K50383-MYKY,MSTO_14,1
K50383-MYKY,MSTO_15,1
K50384-MKWW,MSTO_04,313
K50385-MKKY,MSTO_03,1
K50385-MKKY,MSTO_04,783
K50385-MKKY,MSTO_05,12
K50385-MKKY,MSTO_06,21
K50385-MKKY,MSTO_14,1
K50386-MOYO,MSTO_04,1151
K50388-MKRW,MSTO_04,1871
K50389-MKRK,MSTO_05,2776
K50390-MYOR,MSTO_04,1826
K50390-MYOR,MSTO_14,5
K50391-MYOO,MSTO_03,53
K50391-MYOO,MSTO_04,100
K50392-MYRB,MSTO_05,168
K50392-MYRB,MSTO_06,1
K50392-MYRB,MSTO_13,1
K50394-MWRW,MSTO_04,762
K50394-MWRW,MSTO_08,2
K50395-MYYO,MSTO_05,599
K50395-MYYO,MSTO_06,97
K50396-MWYY,MSTO_05,2144
K50396-MWYY,MSTO_06,379
K50397-MOBY,MSTO_05,992
K50398-MKOK,MSTO_04,370
K50399-MBRB,MSTO_01,15
K50400-MBRR,MSTO_01,196
K56440-MROO,MSTO_08,403
K56440-MROO,MSTO_12,154
K56558-MKWO,MSTO_01,106
K56558-MKWO,MSTO_02,1
K56558-MKWO,MSTO_06,1
K56558-MKWO,MSTO_13,735
K57288-MYRO,MSTO_01,92
K57288-MYRO,MSTO_09,645
K57350-MKOO,MSTO_07,35
K84501-MKYR,MSTO_08,63
K84501-MKYR,MSTO_09,498
K84503-MWOY,MSTO_01,2
K84503-MWOY,MSTO_03,1
K84503-MWOY,MSTO_06,157
K84503-MWOY,MSTO_07,1
K84503-MWOY,MSTO_09,13
K84504-MYWO,MSTO_06,566
K84504-MYWO,MSTO_08,2
K84504-MYWO,MSTO_09,134
K84505-MRKW,MSTO_01,143
K84506-MBWB,MSTO_01,7
K84506-MBWB,MSTO_06,669
K84506-MBWB,MSTO_09,141
K84507-MKYY,MSTO_01,143
K84508-MBWK,MSTO_01,1056
K84509-MBRY,MSTO_01,151
K84509-MBRY,MSTO_06,1
K84510-MRYO,MSTO_01,476
K84510-MRYO,MSTO_08,2
K84511-MOWK,MSTO_01,69
K84511-MOWK,MSTO_03,2
K84511-MOWK,MSTO_06,1
K84511-MOWK,MSTO_10,1
K84511-MOWK,MSTO_11,1
K84512-MBBB,MSTO_01,10
K84513-MYBK,MSTO_01,48
K84513-MYBK,MSTO_06,1
K84514-MRWY,MSTO_09,937
K84515-MWBK,MSTO_08,103
K84515-MWBK,MSTO_09,663
K84516-MKOR,MSTO_01,85
K84516-MKOR,MSTO_13,2877
K84517-MROR,MSTO_01,9
K84517-MROR,MSTO_07,1
K84517-MROR,MSTO_08,96
K84517-MROR,MSTO_09,734
K84517-MROR,MSTO_11,1
K84518-MWRB,MSTO_01,437
K84519-MBWR,MSTO_01,24
K84519-MBWR,MSTO_03,2
K84519-MBWR,MSTO_05,133
K84519-MBWR,MSTO_06,225
K84519-MBWR,MSTO_09,3
K84520-MYYB,MSTO_01,1
K84520-MYYB,MSTO_06,517
K84520-MYYB,MSTO_08,1
K84520-MYYB,MSTO_09,46
K84521-MKYO,MSTO_01,366
K84522-MBKO,MSTO_01,288
K84522-MBKO,MSTO_06,9
K84522-MBKO,MSTO_09,1261
K84523-MOWY,MSTO_01,74
K84523-MOWY,MSTO_13,543
K84525-MBBO,MSTO_03,1
K84525-MBBO,MSTO_04,628
K84526-MRYW,MSTO_07,1
K84526-MRYW,MSTO_09,559
K84527-MKKO,MSTO_04,718
K84527-MKKO,MSTO_05,7
K84528-MBRW,MSTO_08,1
K84528-MBRW,MSTO_09,183
K84529-MKYW,MSTO_07,1
K84529-MKYW,MSTO_08,864
K84529-MKYW,MSTO_09,1170
K84530-MRKR,MSTO_09,317
K84530-MRKR,MSTO_11,1
K84531-MWRO,MSTO_08,9
K84531-MWRO,MSTO_09,281
K84532-MBWY,MSTO_01,7
K84532-MBWY,MSTO_06,2
K84532-MBWY,MSTO_07,520
K84532-MBWY,MSTO_17,2
K84533-MOBK,MSTO_07,544
K84534-MYWR,MSTO_09,5
K84534-MYWR,MSTO_11,1894
K84535-MOKR,MSTO_09,3138
K84536-MBYK,MSTO_06,5
K84536-MBYK,MSTO_09,2359
K84537-MORB,MSTO_06,10
K84537-MORB,MSTO_08,1
K84537-MORB,MSTO_09,1825
K84538-MORO,MSTO_01,281
K84538-MORO,MSTO_03,5
K84538-MORO,MSTO_05,4
K84538-MORO,MSTO_06,3
K84538-MORO,MSTO_07,323
K84538-MORO,MSTO_09,3
K84538-MORO,MSTO_12,1
K84538-MORO,MSTO_13,1
K84539-MRBW,MSTO_04,10
K84539-MRBW,MSTO_11,1132
K84540-MWYW,MSTO_10,1
K84540-MWYW,MSTO_11,915
K84542-MBKY,MSTO_10,1104
K84543-MYKR,MSTO_04,5
K84543-MYKR,MSTO_11,473
K84544-MBBR,MSTO_07,2
K84544-MBBR,MSTO_08,4
K84544-MBBR,MSTO_10,1403
K84544-MBBR,MSTO_11,1
K84545-MYRK,MSTO_04,6
K84545-MYRK,MSTO_11,1553
K84546-MBOR,MSTO_01,4
K84546-MBOR,MSTO_06,1
K84546-MBOR,MSTO_10,1
K84546-MBOR,MSTO_11,1422
K84547-MYKB,MSTO_04,5
K84547-MYKB,MSTO_11,2217
K84548-MWYR,MSTO_07,3
K84548-MWYR,MSTO_10,784
K84549-MKBK,MSTO_12,432
K84550-MOOY,MSTO_10,369
K84550-MOOY,MSTO_11,1
K84551-MWWR,MSTO_08,110
K84551-MWWR,MSTO_09,1
K84551-MWWR,MSTO_11,1
K84551-MWWR,MSTO_12,62
K84552-MRRY,MSTO_08,1851
K84552-MRRY,MSTO_12,158
K84553-MWRK,MSTO_08,1
K84553-MWRK,MSTO_12,694
K84554-MRRW,MSTO_12,63
K84555-MWWY,MSTO_08,170
K84555-MWWY,MSTO_11,2
K84555-MWWY,MSTO_12,44
K84555-MWWY,MSTO_14,1
K84556-MRYR,MSTO_05,385
K84556-MRYR,MSTO_13,1
K84557-MBKR,MSTO_04,128
K84558-MOYW,MSTO_04,1511
K84559-MYBY,MSTO_01,56
K84559-MYBY,MSTO_04,370
K84559-MYBY,MSTO_05,2
K84559-MYBY,MSTO_06,4
K84559-MYBY,MSTO_13,1
K84560-MKKK,MSTO_08,1274
K84560-MKKK,MSTO_09,2472
K84561-MKRB,MSTO_07,183
K84561-MKRB,MSTO_09,11
K84562-MBBW,MSTO_11,244
K84563-MBRK,MSTO_05,109
K84563-MBRK,MSTO_08,2
K84565-MRWK,MSTO_01,78
K84566-MKRR,MSTO_01,1
K84566-MKRR,MSTO_04,5
K84566-MKRR,MSTO_09,1
K84568-MKKW,MSTO_06,1
K84569-MORY,MSTO_12,128
K84569-MORY,MSTO_14,1114
K84570-MBOB,MSTO_09,307
K84571-MKWB,MSTO_09,569
K84573-MKOO,MSTO_07,106
K84574-MKBR,MSTO_11,1967
K84575-MRRB,MSTO_08,1458
K84576-MKBB,MSTO_12,46
K84576-MKBB,MSTO_14,70
K84577-MWKK,MSTO_12,33
K84577-MWKK,MSTO_14,28
K84578-MBOO,MSTO_12,36
K84578-MBOO,MSTO_14,5
K84582-MOYY,MSTO_11,602
K84583-MRWW,MSTO_11,316
K84584-RRMR,MSTO_10,1
K84584-RRMR,MSTO_11,41
K84585-YYMY,MSTO_10,1
K84585-YYMY,MSTO_11,114
K84590-MWKW,MSTO_08,15
K84590-MWKW,MSTO_09,820
K84593-MRKK,MSTO_03,1
K84593-MRKK,MSTO_08,207
K84594-MWBB,MSTO_07,17
K84594-MWBB,MSTO_08,6
K84597-YYMK,MSTO_03,96
K84598-MYOB,MSTO_05,2
